kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,simd,32,0,1,0.000515333,0.127172,0,65536,12288,5.33333
dense,simd,64,0,1,0.000114867,4.56432,0,524288,49152,10.6667
dense,simd,128,0,1,8.87e-05,47.2864,0,4194304,196608,21.3333
dense,simd,256,0,1,0.0004815,69.6873,0,33554432,786432,42.6667
dense,simd,512,0,1,0.0044651,60.1186,0,268435456,3145728,85.3333
dense,simd,1024,0,1,0.0860875,24.9454,0,2147483648,12582912,170.667
