kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,1024,0.1,2,0.829268,2.58961,0,2147483648,12582912,170.667
csr,optimized,1024,0.1,2,0.141464,13.6516,3.58808e+08,1931216896,15936524,121.182
dense,optimized,1024,0.1,4,0.668243,3.21363,0,2147483648,12582912,170.667
csr,optimized,1024,0.1,4,0.0919217,21.0329,3.58424e+08,1933381632,15944980,121.253
dense,optimized,1024,0.1,8,0.369905,5.8055,0,2147483648,12582912,170.667
csr,optimized,1024,0.1,8,0.0774814,24.9422,3.58589e+08,1932554240,15941748,121.226
dense,optimized,1024,0.1,16,0.251116,8.55177,0,2147483648,12582912,170.667
csr,optimized,1024,0.1,16,0.0527887,36.6177,3.58513e+08,1933002752,15943500,121.241
dense,optimized,1024,0.2,1,1.60228,1.34027,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,1,0.258411,6.64749,4.03481e+08,1717782528,15102796,113.739
dense,optimized,1024,0.2,2,0.865309,2.48175,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,2,0.126194,13.6058,4.03696e+08,1716975616,15099644,113.71
dense,optimized,1024,0.2,4,0.668082,3.2144,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,4,0.0795398,21.5997,4.03467e+08,1718036480,15103788,113.749
dense,optimized,1024,0.2,8,0.371519,5.78029,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,8,0.0722942,23.7462,4.03791e+08,1716709376,15098604,113.7
dense,optimized,1024,0.2,16,0.252956,8.48956,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,16,0.0447773,38.3692,4.03479e+08,1718069248,15103916,113.75
dense,optimized,1024,0.5,1,1.6084,1.33517,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,1,0.170217,6.32022,6.44432e+08,1075810304,12595092,85.415
dense,optimized,1024,0.5,2,0.837132,2.56529,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,2,0.0748303,14.3215,6.46955e+08,1071679488,12578956,85.1962
dense,optimized,1024,0.5,4,0.668878,3.21058,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,4,0.0401971,26.7116,6.4575e+08,1073729536,12586964,85.3049
dense,optimized,1024,0.5,8,0.369025,5.81935,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,8,0.0317929,33.7066,6.47034e+08,1071628288,12578756,85.1935
dense,optimized,1024,0.5,16,0.253573,8.46891,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,16,0.0211303,50.7315,6.46839e+08,1071970304,12580092,85.2116
