kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,scalar,1024,0,1,0.527584,4.07041,0,2147483648,12582912,170.667
dense,simd,1024,0,1,0.0532274,40.3455,0,2147483648,12582912,170.667
dense,omp,1024,0,2,1.28943,1.66545,0,2147483648,12582912,170.667
dense,omp,1024,0,4,1.33702,1.60617,0,2147483648,12582912,170.667
dense,omp,1024,0,8,0.891134,2.40983,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,2,0.147566,14.5527,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,4,0.0959107,22.3904,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,8,0.0793414,27.0664,0,2147483648,12582912,170.667
