kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,scalar,1024,0,1,0.488743,4.39389,0,2147483648,12582912,170.667
dense,simd,1024,0,1,0.103859,20.6769,0,2147483648,12582912,170.667
dense,omp,1024,0,2,1.3176,1.62984,0,2147483648,12582912,170.667
dense,omp,1024,0,4,1.31639,1.63134,0,2147483648,12582912,170.667
dense,omp,1024,0,8,0.908901,2.36273,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,2,0.312778,6.86583,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,4,0.296083,7.25299,0,2147483648,12582912,170.667
dense,simd_omp,1024,0,8,0.174979,12.2728,0,2147483648,12582912,170.667
