kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,1024,0.2,2,0.791325,2.71378,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,2,0.125458,13.6917,5.60067e+07,1717733376,15102604,113.738
dense,optimized,1024,0.2,4,0.633243,3.39125,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,4,0.0758225,22.6557,5.60073e+07,1717815296,15102924,113.741
dense,optimized,1024,0.2,8,0.337286,6.36694,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,8,0.0604247,28.4384,5.59909e+07,1718380544,15105132,113.761
dense,optimized,1024,0.2,16,0.239153,8.97954,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,16,0.0395087,43.4758,5.60154e+07,1717673984,15102372,113.735
dense,optimized,1024,0.5,1,1.55302,1.38278,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,1,0.145803,7.35351,8.97527e+07,1072160768,12580836,85.2217
dense,optimized,1024,0.5,2,0.797483,2.69283,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,2,0.0723569,14.8303,8.96828e+07,1073074176,12584404,85.2702
dense,optimized,1024,0.5,4,0.63376,3.38848,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,4,0.0408419,26.3001,8.95985e+07,1074145280,12588588,85.3269
dense,optimized,1024,0.5,8,0.336792,6.37629,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,8,0.029937,35.8924,8.95709e+07,1074511872,12590020,85.3463
dense,optimized,1024,0.5,16,0.210927,10.1812,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,16,0.0183571,58.5596,8.95335e+07,1074984960,12591868,85.3714
