kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,simd,64,0,1,0.0001976,2.65328,0,524288,49152,10.6667
dense,simd,128,0,1,0.0003177,13.2021,0,4194304,196608,21.3333
dense,simd,256,0,1,0.0013368,25.1006,0,33554432,786432,42.6667
dense,simd,512,0,1,0.0098177,27.342,0,268435456,3145728,85.3333
dense,simd,1024,0,1,0.175556,12.2325,0,2147483648,12582912,170.667
